ocel:eid,ocel:timestamp,ocel:activity,ocel:type:MATNR,ocel:type:WERKS,ocel:type:QNAME,ocel:type:NLPLA,ocel:type:NLQNR
24,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-10'],['03-01-10_0000000052']
25,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-01'],['03-02-01_0000000053']
26,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-02'],['03-02-02_0000000054']
27,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-03'],['03-02-03_0000000055']
28,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-04'],['03-02-04_0000000056']
29,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-05'],['03-02-05_0000000057']
30,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-06'],['03-02-06_0000000058']
31,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-07'],['03-02-07_0000000059']
32,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-08'],['03-02-08_0000000060']
33,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-09'],['03-02-09_0000000061']
34,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-02-10'],['03-02-10_0000000062']
35,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-03-01'],['03-03-01_0000000063']
36,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-03-02'],['03-03-02_0000000064']
37,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-03-03'],['03-03-03_0000000065']
38,1995-06-16 19:20:37,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-03-04'],['03-03-04_0000000066']
39,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-05'],['03-01-05_0000000047']
40,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-06'],['03-01-06_0000000048']
41,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-07'],['03-01-07_0000000049']
42,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-08'],['03-01-08_0000000050']
43,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-09'],['03-01-09_0000000051']
44,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-01-10'],['03-01-10_0000000052']
45,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-01'],['03-02-01_0000000053']
46,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-02'],['03-02-02_0000000054']
47,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-03'],['03-02-03_0000000055']
48,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-04'],['03-02-04_0000000056']
49,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-05'],['03-02-05_0000000057']
50,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-06'],['03-02-06_0000000058']
51,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-07'],['03-02-07_0000000059']
52,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-08'],['03-02-08_0000000060']
53,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-09'],['03-02-09_0000000061']
54,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-02-10'],['03-02-10_0000000062']
55,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-03-01'],['03-03-01_0000000063']
56,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-03-02'],['03-03-02_0000000064']
57,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-03-03'],['03-03-03_0000000065']
58,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['LOEHLE'],['03-03-04'],['03-03-04_0000000066']
59,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
60,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
61,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
62,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
63,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
64,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
65,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
66,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
67,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
68,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
69,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
70,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
71,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
72,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
73,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
74,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
75,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
76,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
77,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
78,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
79,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
80,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
81,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
82,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
83,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
84,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
85,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
86,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
87,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
88,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
89,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
90,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
91,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
92,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
93,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
94,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
95,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['AUFNAHME'],['AUFNAHME_0000000045']
96,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['0000700483'],['0000700483_0000000087']
97,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000117']
98,1995-06-16 23:58:00,Goods Receipt,['R-1340'],['1200'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000149']
99,1995-06-18 17:07:09,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['UML-ZONE'],['UML-ZONE_0000000067']
100,1995-06-21 21:30:10,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['UML-ZONE'],['UML-ZONE_0000000077']
101,1995-08-11 23:58:00,Goods Receipt,['AM2-510'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000098']
102,1995-08-11 23:58:00,Goods Receipt,['AM2-510'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000150']
103,1995-08-14 23:58:00,Goods Receipt,['AM2-530-R'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000108']
104,1995-08-16 23:58:00,Goods Receipt,['AM2-550'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000110']
105,1995-11-07 16:50:08,Transfer Confirmation,['R-1340'],['3200'],['QUINTAL'],['03-01-01'],['03-01-01_0000000002']
106,1995-11-07 16:58:03,Transfer Confirmation,['R-1340'],['3200'],['QUINTAL'],['UML-ZONE'],['UML-ZONE_0000000003']
107,1995-11-07 17:24:34,Transfer Confirmation,['R-1340'],['3200'],['QUINTAL'],['UML-ZONE'],['UML-ZONE_0000000004']
108,1995-11-07 23:58:00,Goods Receipt,['R-1340'],['3200'],['QUINTAL'],['03-01-01'],['03-01-01_0000000002']
109,1995-11-07 23:58:00,Goods Receipt,['R-1340'],['3200'],['QUINTAL'],['UML-ZONE'],['UML-ZONE_0000000003']
110,1995-11-07 23:58:00,Goods Receipt,['R-1340'],['3200'],['QUINTAL'],['UML-ZONE'],['UML-ZONE_0000000004']
111,1995-11-07 23:58:00,Goods Receipt,['R-1340'],['3200'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000011']
112,1996-07-18 11:52:22,Transfer Confirmation,['DPC1014'],['1000'],['BARTHEL'],['03-01-05'],['03-01-05_0000000130']
113,1996-07-18 11:52:23,Transfer Confirmation,['DPC1014'],['1000'],['BARTHEL'],['03-01-06'],['03-01-06_0000000131']
114,1996-07-18 11:52:23,Transfer Confirmation,['DPC1020'],['1000'],['BARTHEL'],['03-03-05'],['03-03-05_0000000132']
115,1996-07-18 11:52:23,Transfer Confirmation,['DPC1020'],['1000'],['BARTHEL'],['03-03-06'],['03-03-06_0000000133']
116,1996-07-18 11:52:23,Transfer Confirmation,['DPC1018'],['1000'],['BARTHEL'],['03-03-07'],['03-03-07_0000000134']
117,1996-07-18 11:52:24,Transfer Confirmation,['DPC1018'],['1000'],['BARTHEL'],['03-03-08'],['03-03-08_0000000135']
118,1996-07-18 11:52:24,Transfer Confirmation,['DPC1018'],['1000'],['BARTHEL'],['03-03-09'],['03-03-09_0000000136']
119,1996-07-18 11:52:24,Transfer Confirmation,['DPC1018'],['1000'],['BARTHEL'],['03-03-10'],['03-03-10_0000000137']
120,1996-07-18 23:58:00,Goods Receipt,['DPC1014'],['1000'],['BARTHEL'],['03-01-05'],['03-01-05_0000000130']
121,1996-07-18 23:58:00,Goods Receipt,['DPC1014'],['1000'],['BARTHEL'],['03-01-06'],['03-01-06_0000000131']
122,1996-07-18 23:58:00,Goods Receipt,['DPC1020'],['1000'],['BARTHEL'],['03-03-05'],['03-03-05_0000000132']
123,1996-07-18 23:58:00,Goods Receipt,['DPC1020'],['1000'],['BARTHEL'],['03-03-06'],['03-03-06_0000000133']
124,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['BARTHEL'],['03-03-07'],['03-03-07_0000000134']
125,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['BARTHEL'],['03-03-08'],['03-03-08_0000000135']
126,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['BARTHEL'],['03-03-09'],['03-03-09_0000000136']
127,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['BARTHEL'],['03-03-10'],['03-03-10_0000000137']
128,1996-07-18 23:58:00,Goods Receipt,['DPC1014'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000151']
129,1996-07-18 23:58:00,Goods Receipt,['DPC1014'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000151']
130,1996-07-18 23:58:00,Goods Receipt,['DPC1020'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000152']
131,1996-07-18 23:58:00,Goods Receipt,['DPC1020'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000152']
132,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
133,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
134,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
135,1996-07-18 23:58:00,Goods Receipt,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
136,1996-07-26 19:06:06,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
137,1996-07-26 19:06:07,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
138,1996-07-26 19:06:07,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
139,1996-07-26 19:06:07,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
140,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
141,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
142,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
143,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
144,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['0080002945'],['0080002945_0000000012']
145,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['0080002946'],['0080002946_0000000013']
146,1996-07-26 23:58:00,Goods Receipt,['M-10'],['3000'],['VANDIJK'],['0000001200'],['0000001200_0000000031']
147,1996-07-29 18:47:48,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
148,1996-07-29 18:47:49,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
149,1996-07-29 18:47:49,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
150,1996-07-29 21:46:53,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['0080002946'],['0080002946_0000000013']
151,1996-07-29 21:47:00,Transfer Confirmation,['M-10'],['3000'],['CARLSON'],['0080002945'],['0080002945_0000000012']
152,1996-07-29 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
153,1996-07-29 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
154,1996-07-29 23:58:00,Goods Receipt,['M-10'],['3000'],['CARLSON'],['01-01-01'],['01-01-01_0000000005']
155,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
156,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
157,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
158,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
159,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
160,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
161,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
162,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
163,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
164,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
165,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
166,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
167,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
168,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
169,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
170,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
171,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
172,1996-09-19 15:45:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000147']
173,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
174,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
175,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
176,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
177,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
178,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
179,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
180,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
181,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
182,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
183,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
184,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
185,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
186,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
187,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
188,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
189,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
190,1996-09-19 16:03:21,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000000001'],['0000000001_0000000148']
191,1996-09-19 16:04:16,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['AUFNAHME'],['AUFNAHME_0000000045']
192,1996-09-19 16:05:10,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['0000700483'],['0000700483_0000000087']
193,1996-09-19 16:08:34,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000117']
194,1996-09-19 16:09:41,Transfer Confirmation,['AM2-510'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000098']
195,1996-09-19 16:10:20,Transfer Confirmation,['AM2-530-R'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000108']
196,1996-09-19 16:10:54,Transfer Confirmation,['AM2-550'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000110']
197,1996-09-19 16:16:56,Transfer Confirmation,['R-1340'],['1200'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000149']
198,1996-09-19 16:17:08,Transfer Confirmation,['AM2-510'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000150']
199,1996-09-19 16:49:56,Transfer Confirmation,['R-1340'],['3200'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000011']
200,1996-09-19 17:21:47,Transfer Confirmation,['DPC1014'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000151']
201,1996-09-19 17:21:47,Transfer Confirmation,['DPC1014'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000151']
202,1996-09-19 17:21:47,Transfer Confirmation,['DPC1020'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000152']
203,1996-09-19 17:21:47,Transfer Confirmation,['DPC1020'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000152']
204,1996-09-19 17:21:47,Transfer Confirmation,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
205,1996-09-19 17:21:47,Transfer Confirmation,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
206,1996-09-19 17:21:47,Transfer Confirmation,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
207,1996-09-19 17:21:47,Transfer Confirmation,['DPC1018'],['1000'],['ERNESTI'],['UML-ZONE'],['UML-ZONE_0000000153']
208,1996-09-19 17:25:35,Transfer Confirmation,['99-120'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000154']
